Name rus, Name eng,DOB,Gender,Description,Tag
Горбунов Валентин Павлович,Gorbunov Valentin Pavlovich,28.07.1953 - 29.03.2020,male,Died. Former chairman of the Moscow City Election Commission.,"Individuals involved in corruption
Investigations subjects"
Горбунов Василий Александрович,Gorbunov Vasily Alexandrovich,14.04.1977,male,"Deputy Governor of Yaroslavl Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Горбунова Мария Валентиновна,Gorbunova Maria Valentinovna,18.10.1979,female,Daughter of Gorbunov Valentin Pavlovich who is a Former chairman of the Moscow City Election Commission.,"Individuals involved in corruption
Investigations subjects"
Горбунова Наталия Анатольевна,Gorbunova Natalia Anatolievna,05.02.1953,female,Wife of Gorbunov Valentin Pavlovich who is a Former chairman of the Moscow City Election Commission. The founder of the Croatian company through which he owns real estate.,"Individuals involved in corruption
Investigations subjects"
Горчакова Елена Викторовна,Gorchakova Elena Viktorovna,12.11.1961,female,"Judge of the Supreme Court of the Russian Federation. As part of the panel of judges, she upheld the decision to exclude Sergei Boyko from the elections to the Legislative Assembly of the Novosibirsk Oblast

As part of the panel of judges, she upheld the decision to exclude Ivan Zhdanov from the election of deputies of the Moscow City Duma.

As part of the panel of judges, she recognized as legal the actions of Rosreestr in issuing extracts with false information, where the names of the children of the Prosecutor General Chaika were replaced with LSDU3 and YFYaU9","Organizers of political repressions
Judges, prosecutors, state investigators"
Гордеев Алексей Васильевич,Gordeev Alexey Vasilievich,28.02.1955,male,"Member of the State Duma of the Russian Federation, Deputy Chairman of the State Duma. This state body is responsible for political and legal support of the aggressive war against Ukraine.

Deputy of State Duma. He listed over a billion and a half rubles worth of real estate in his close relatives.

Member of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Members of Parliament and Senate
State Duma

Individuals involved in corruption
Investigations subjects

United Russia” party Functionaries 
Federal and regional party leaders"
Гордеев Дмитрий Сергеевич,Gordeev Dmitry Sergeevich,,male,Judge of the Tverskoy District Court of Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гордеев Никита Алексеевич,Gordeev Nikita Alekseevich,23.06.1986,male,Son of Gordeev Alexey Vasilievich who is the Deputy of State Duma.,"Individuals involved in corruption
Investigations subjects"
Гордеев Сергей Николаевич,Gordeev Sergey Nikolaevich,20.06.1968,male,"Acting Deputy Chairman of the Government of Zabaykalsky Krai. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Гордеев Юрий Сергеевич,Gordeev Yuri Sergeevich,20.05.1982,Male,"Deputy Minister of Construction and Housing and Communal Services of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Гордеева Арина Ханнувна,Gordeeva Arina Hannuvna,05.02.1986,female,Daughter-in-law of Gordeev Alexey Vasilievich who is the Deputy of State Duma.,"Individuals involved in corruption
Investigations subjects"
Гордеева Татьяна Александровна,Gordeeva Tatyana Aleksandrovna,06.08.1955,female,Wife of Gordeev Alexey Vasilievich who is the Deputy of State Duma.,"Individuals involved in corruption
Investigations subjects"
Гордеюк Дмитрий Викторович,Gordeyuk Dmitry Viktorovich,,male,Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гордиенко Евгений Александрович,Gordienko Evgeny Aleksandrovich,17.06.1974,male,"Deputy Chairman of the government Karachay-Cherkess Republic. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Гордин Михаил Валерьевич,Gordin Mikhail Valeryevich,16.08.1969,male,Rector of the Bauman Moscow State Technical University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Гордюшин Николай Валерьевич,Gordyushin Nikolay Valerievich,03.06.1980,male,"Acting Deputy Governor - Chairman of the Government of Sevastopol. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Горегляд Валерий Павлович,Goreglyad Valery Pavlovich,18.06.1958,male,Deputy Chairman of the Bank of Russia. The Bank of Russia is the state body responsible for monetary policy and maintaining financial stability in order to continue Russia's military aggression against Ukraine.,"State Bankers
Central Bank employees, board members "
Горелкин Антон Вадимович,Gorelkin Anton Vadimovich,22.01.1982,male,"Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.

Member of the State Duma of the Russian Federation (lower house of the federal parliament). Deputy Chairman of the State Duma Committee on Information Policy, Information Technology and Communications","Members of Parliament and Senate
State Duma

Organizers of political repressions
Internet censors"
